Description,Date,"Atlanta, GA","Austin, TX","Baltimore, MD","Boston, MA","Bronx, NY","Brooklyn, NY","Cairo, Cairo Governorate, Egypt","Charleston, SC","Charlotte, NC","Chicago, IL","Cleveland, OH","Columbus, OH","Dallas, TX","Denver, CO","Detroit, MI","El Paso, TX","El Segundo, CA","Fort Worth, TX","Hermosa Beach, CA","Houston, TX","Indianapolis, IN","Irvine, CA","Jacksonville, FL","Kuala Lumpur, Malaysia","Las Vegas, NV","London, England, United Kingdom","Long Beach, CA","Los Angeles, CA","Louisville, KY","Manhattan Beach, CA","Memphis, TN","Miami, FL","Milwaukee, WI","Minneapolis, MN","Nashville, TN","New York, NY","Newport Beach, CA","Orlando, FL","Philadelphia, PA","Phoenix, AZ","Pittsburgh, PA","Portland, OR","Redondo Beach, CA","San Antonio, TX","San Diego, CA","San Francisco, CA","San Jose, CA","Santa Monica, CA","Seattle, WA","St. Louis, MO","Tampa, FL","Torrance, CA",Unknown,"Washington, DC"
"Lifetime: Aggregated Facebook location data, sorted by city, about the people who like your Page. (Unique Users)",1/1/15,53,28,19,22,27,44,73,,22,82,17,18,31,22,14,,22,21,29,72,19,,19,,40,,19,344,,71,18,45,25,14,22,118,,30,51,33,14,20,30,19,34,51,,25,21,20,18,16,,29
,1/2/15,53,28,19,22,27,43,73,,22,82,17,18,31,22,14,,22,21,28,72,19,,19,,40,,19,344,,70,18,45,25,14,22,119,,30,52,33,14,20,31,19,34,52,,25,21,20,18,16,,28
,1/3/15,53,28,19,22,27,43,73,,22,82,17,18,31,22,14,,22,21,28,72,19,14,19,,39,,19,346,,71,18,45,25,14,22,121,,30,52,33,,20,30,19,33,52,,25,21,20,18,16,,28
,1/4/15,53,28,19,22,27,44,73,,22,83,17,18,31,22,14,,21,21,28,72,19,14,19,,39,,19,346,,71,18,45,25,14,22,119,,30,52,33,,20,30,19,33,52,,25,21,20,18,16,,28
,1/5/15,53,28,19,22,27,43,73,,22,82,17,18,31,22,14,,21,21,28,72,19,13,19,,40,,19,344,,72,18,45,25,14,21,118,,30,52,33,,20,30,19,33,51,,25,21,20,18,16,,28
,1/6/15,53,28,19,22,27,43,73,,22,82,17,18,31,22,14,,21,21,28,72,19,,19,,40,,19,344,13,72,18,45,25,14,21,118,,30,52,33,,20,30,19,33,51,,25,21,20,18,16,,28
,1/7/15,53,28,19,22,26,43,74,,22,82,17,18,31,22,14,,21,21,28,71,20,,19,,39,,19,346,,72,18,45,25,14,21,118,,30,52,33,14,20,30,19,33,51,,25,21,20,18,16,,28
,1/8/15,53,28,19,22,26,43,73,,22,83,17,18,31,22,14,,21,21,28,72,20,,19,,41,,19,347,,69,18,45,25,14,21,118,,30,53,33,14,20,31,19,34,51,,25,20,20,18,16,,28
,1/9/15,52,28,19,22,26,43,72,,22,81,17,18,31,22,14,,21,21,28,72,20,14,19,,40,,19,343,,74,18,44,25,14,21,118,,30,52,33,,20,30,19,34,53,,25,20,20,18,16,,28
,1/10/15,52,28,19,22,26,43,72,,22,82,17,18,31,22,14,,22,21,28,72,20,14,19,,41,,19,344,13,72,18,44,25,,21,118,,30,52,33,,20,31,19,34,53,,25,20,20,18,16,,28
,1/11/15,52,28,19,22,26,43,72,,22,81,17,18,31,22,14,,22,21,28,72,20,14,19,,41,,19,345,,71,18,44,25,14,22,118,,30,52,33,,20,31,19,34,52,,25,20,20,18,16,,28
,1/12/15,52,28,19,22,26,43,72,,22,82,17,19,31,22,14,,22,21,27,72,20,,19,,41,,19,347,,72,18,45,25,13,22,119,,30,53,33,14,20,33,19,33,51,,25,20,20,18,16,,28
,1/13/15,52,28,19,22,26,43,72,,22,84,17,20,31,22,14,,21,21,27,72,20,14,19,,40,,19,347,,72,18,45,25,,22,118,,30,53,33,14,20,33,19,33,51,,25,20,20,18,16,,28
